20:12:58.249131 IP 192.168.223.1.52202 > 239.255.255.250.1900: UDP, length 173
20:12:59.247527 IP 192.168.223.1.52202 > 239.255.255.250.1900: UDP, length 173
20:13:00.245403 IP 192.168.223.1.52202 > 239.255.255.250.1900: UDP, length 173
20:13:01.242919 IP 192.168.223.1.52202 > 239.255.255.250.1900: UDP, length 173
20:13:09.952695 IP 192.168.223.1.netbios-ns > 192.168.223.255.netbios-ns: NBT UDP PACKET(137): QUERY; REQUEST; BROADCAST
20:13:09.953253 IP6 fe80::3dba:e004:3100:7892.50272 > ff02::1:3.hostmon: UDP, length 22
20:13:09.953405 IP 192.168.223.1.50272 > 224.0.0.252.hostmon: UDP, length 22
20:13:09.953868 IP6 fe80::3dba:e004:3100:7892.60026 > ff02::1:3.hostmon: UDP, length 22
20:13:09.953992 IP 192.168.223.1.60026 > 224.0.0.252.hostmon: UDP, length 22
20:13:10.362396 IP6 fe80::3dba:e004:3100:7892.50272 > ff02::1:3.hostmon: UDP, length 22
20:13:10.362538 IP 192.168.223.1.50272 > 224.0.0.252.hostmon: UDP, length 22
20:13:10.363450 IP6 fe80::3dba:e004:3100:7892.60026 > ff02::1:3.hostmon: UDP, length 22
20:13:10.363522 IP 192.168.223.1.60026 > 224.0.0.252.hostmon: UDP, length 22
20:13:10.701208 IP 192.168.223.1.netbios-ns > 192.168.223.255.netbios-ns: NBT UDP PACKET(137): QUERY; REQUEST; BROADCAST
20:13:11.449300 IP 192.168.223.1.netbios-ns > 192.168.223.255.netbios-ns: NBT UDP PACKET(137): QUERY; REQUEST; BROADCAST
20:13:12.000267 IP 192.168.223.1.57621 > 192.168.223.255.57621: UDP, length 44
20:13:23.248237 ARP, Request who-has 192.168.223.41 (Broadcast) tell 192.168.223.130, length 46
20:13:23.248336 ARP, Request who-has 192.168.223.42 (Broadcast) tell 192.168.223.130, length 46
20:13:23.248385 ARP, Request who-has 192.168.223.49 (Broadcast) tell 192.168.223.130, length 46
20:13:23.248398 ARP, Request who-has 192.168.223.50 (Broadcast) tell 192.168.223.130, length 46
20:13:23.248400 ARP, Request who-has 192.168.223.51 (Broadcast) tell 192.168.223.130, length 46
20:13:23.248426 ARP, Request who-has 192.168.223.52 (Broadcast) tell 192.168.223.130, length 46
20:13:23.250452 ARP, Request who-has 192.168.223.45 (Broadcast) tell 192.168.223.130, length 46
20:13:23.250542 ARP, Request who-has 192.168.223.46 (Broadcast) tell 192.168.223.130, length 46
20:13:23.348732 ARP, Request who-has 192.168.223.49 (Broadcast) tell 192.168.223.130, length 46
20:13:23.348917 ARP, Request who-has 192.168.223.50 (Broadcast) tell 192.168.223.130, length 46
20:13:23.348980 ARP, Request who-has 192.168.223.51 (Broadcast) tell 192.168.223.130, length 46
20:13:23.349032 ARP, Request who-has 192.168.223.52 (Broadcast) tell 192.168.223.130, length 46
20:13:23.349086 ARP, Request who-has 192.168.223.57 (Broadcast) tell 192.168.223.130, length 46
20:13:23.349157 ARP, Request who-has 192.168.223.58 (Broadcast) tell 192.168.223.130, length 46
20:13:23.349163 ARP, Request who-has 192.168.223.59 (Broadcast) tell 192.168.223.130, length 46
20:13:23.349165 ARP, Request who-has 192.168.223.60 (Broadcast) tell 192.168.223.130, length 46
20:13:23.349166 ARP, Request who-has 192.168.223.61 (Broadcast) tell 192.168.223.130, length 46
20:13:23.349168 ARP, Request who-has 192.168.223.62 (Broadcast) tell 192.168.223.130, length 46
20:13:23.351781 ARP, Request who-has 192.168.223.65 (Broadcast) tell 192.168.223.130, length 46
20:13:23.351792 ARP, Request who-has 192.168.223.66 (Broadcast) tell 192.168.223.130, length 46
